"codigopg";"codigo_orgao_superior";"nome_orgao_superior";"codigo_orgao_pagador";"nome_orgao_pagador";"codigo_unidade_gestora_pagadora";"nome_unidade_gestora_pagadora";"tipo_pagamento";"valor"
"0000000000015163874";"26000";"Ministério da Educação";"26291";"Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"154003";"FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR";"PASSAGEM                      ";"2875,92"
"0000000000015166192";"26000";"Ministério da Educação";"26291";"Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"154003";"FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR";"PASSAGEM                      ";"2420,48"
"0000000000015214826";"26000";"Ministério da Educação";"26291";"Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior";"154003";"FUND.COORD.DE APERF.DE PESSOAL NIVEL SUPERIOR";"PASSAGEM                      ";"2694,58"
"0000000000015233002";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160089";"SECRETARIA DE ECONOMIA E FINANCAS";"PASSAGEM                      ";"336,53"
"0000000000015233002";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160089";"SECRETARIA DE ECONOMIA E FINANCAS";"PASSAGEM                      ";"666,68"
"0000000000015233002";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160089";"SECRETARIA DE ECONOMIA E FINANCAS";"PASSAGEM                      ";"233,17"
"0000000000015238063";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160089";"SECRETARIA DE ECONOMIA E FINANCAS";"PASSAGEM                      ";"746,35"
"0000000000015238063";"52000";"Ministério da Defesa";"52904";"Fundo do Exército";"167089";"SECRETARIA DE ECONOMIA E FINANCAS";"DIÁRIAS                       ";"481,65"
"0000000000015238076";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160089";"SECRETARIA DE ECONOMIA E FINANCAS";"PASSAGEM                      ";"519,24"
"0000000000015238076";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160089";"SECRETARIA DE ECONOMIA E FINANCAS";"PASSAGEM                      ";"774,17"
"0000000000015238076";"52000";"Ministério da Defesa";"52904";"Fundo do Exército";"167089";"SECRETARIA DE ECONOMIA E FINANCAS";"DIÁRIAS                       ";"456,30"
"0000000000015303334";"26000";"Ministério da Educação";"26258";"Universidade Tecnológica Federal do Paraná ";"153251";"UTFPR - CAMPUS CAMPO MOURAO";"PASSAGEM                      ";"495,68"
"0000000000015303334";"26000";"Ministério da Educação";"26258";"Universidade Tecnológica Federal do Paraná ";"153251";"UTFPR - CAMPUS CAMPO MOURAO";"DIÁRIAS                       ";"1371,50"
"0000000000015303334";"26000";"Ministério da Educação";"26258";"Universidade Tecnológica Federal do Paraná ";"153251";"UTFPR - CAMPUS CAMPO MOURAO";"PASSAGEM                      ";"490,47"
"0000000000015355834";"-1";"Sigiloso";"-1";"";"-11";"Sigilosa";"PASSAGEM                      ";"268,84"
"0000000000015355834";"-1";"Sigiloso";"-1";"";"-11";"Sigilosa";"PASSAGEM                      ";"1223,19"
"0000000000015355867";"-1";"Sigiloso";"-1";"";"-11";"Sigilosa";"PASSAGEM                      ";"1223,19"
"0000000000015355867";"-1";"Sigiloso";"-1";"";"-11";"Sigilosa";"PASSAGEM                      ";"268,84"
"0000000000015387556";"26000";"Ministério da Educação";"26271";"Fundação Universidade de Brasília";"154040";"FUNDACAO UNIVERSIDADE DE BRASILIA - FUB";"PASSAGEM                      ";"672,60"
