"codigot";"sequencia_trecho";"origem_data";"origem_pais";"origem_uf";"origem_cidade";"destino_data";"destino_pais";"destino_uf";"destino_cidade";"meio_transporte";"numero_diarias";"missao"
"0000000000015163874";"1";"20190217";"Estados Unidos da América";"";"Washington";"20190218";"Brasil";"Bahia";"Salvador";"Aéreo";",00";"Sim"
"0000000000015166192";"1";"20190220";"Itália";"";"Roma";"20190221";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Aéreo";",00";"Sim"
"0000000000015214826";"1";"20190215";"Estados Unidos da América";"";"San Francisco - Califórnia";"20190216";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Aéreo";",00";"Sim"
"0000000000015233002";"3";"20190111";"Brasil";"Paraná";"Curitiba";"20190111";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Não"
"0000000000015233002";"1";"20190108";"Brasil";"Distrito Federal";"Brasília";"20190110";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Aéreo";",00";"Sim"
"0000000000015233002";"2";"20190110";"Brasil";"Rio Grande do Sul";"Porto Alegre";"20190111";"Brasil";"Paraná";"Curitiba";"Aéreo";",00";"Sim"
"0000000000015238063";"1";"20190114";"Brasil";"Distrito Federal";"Brasília";"20190115";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Aéreo";"1,00";"Sim"
"0000000000015238063";"2";"20190115";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"20190115";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",50";"Não"
"0000000000015238076";"1";"20190116";"Brasil";"Distrito Federal";"Brasília";"20190117";"Brasil";"Pernambuco";"Recife";"Aéreo";"1,00";"Sim"
"0000000000015238076";"2";"20190117";"Brasil";"Pernambuco";"Recife";"20190117";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",50";"Não"
"0000000000015303334";"1";"20190126";"Brasil";"Paraná";"Campo Mourão";"20190126";"Brasil";"Paraná";"Maringá";"Veículo Próprio";",00";"Não"
"0000000000015303334";"2";"20190126";"Brasil";"Paraná";"Maringá";"20190126";"Brasil";"São Paulo";"São Paulo";"Aéreo";",00";"Não"
"0000000000015303334";"4";"20190201";"Brasil";"Bahia";"Salvador";"20190201";"Brasil";"São Paulo";"São Paulo";"Aéreo";",00";"Não"
"0000000000015303334";"5";"20190201";"Brasil";"São Paulo";"São Paulo";"20190201";"Brasil";"Paraná";"Maringá";"Aéreo";",00";"Não"
"0000000000015303334";"6";"20190201";"Brasil";"Paraná";"Maringá";"20190201";"Brasil";"Paraná";"Campo Mourão";"Veículo Próprio";",50";"Não"
"0000000000015303334";"3";"20190126";"Brasil";"São Paulo";"São Paulo";"20190201";"Brasil";"Bahia";"Salvador";"Aéreo";"6,00";"Sim"
"0000000000015387556";"1";"20190218";"Brasil";"Pernambuco";"Recife";"20190220";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Sim"
"0000000000015387556";"2";"20190220";"Brasil";"Distrito Federal";"Brasília";"20190220";"Brasil";"Pernambuco";"Recife";"Aéreo";",00";"Não"
"0000000000015392543";"1";"20190113";"Brasil";"Espírito Santo";"Vitória";"20190120";"Brasil";"Alagoas";"Maceió";"Aéreo";",00";"Sim"
"0000000000015392543";"2";"20190120";"Brasil";"Alagoas";"Maceió";"20190120";"Brasil";"Espírito Santo";"Vitória";"Aéreo";",00";"Não"
"0000000000015393148";"3";"20190126";"Itália";"";"Pavia";"20190127";"Brasil";"Paraná";"Ponta Grossa";"Aéreo";",00";"Não"
"0000000000015393148";"2";"20190107";"Itália";"";"Pavia";"20190126";"Itália";"";"Pavia";"Inválido";",00";"Sim"
"0000000000015393148";"1";"20190107";"Brasil";"Paraná";"Ponta Grossa";"20190107";"Itália";"";"Pavia";"Aéreo";",00";"Não"
"0000000000015393655";"1";"20190123";"Brasil";"São Paulo";"São Paulo";"20190129";"França";"";"Paris";"Aéreo";",00";"Sim"
"0000000000015405750";"1";"20190105";"Suíça";"";"Genebra";"20190111";"China";"";"Pequim";"Aéreo";",00";"Sim"
"0000000000015405941";"2";"20190127";"Itália";"";"Milão";"20190202";"Reino Unido";"";"Edimburgo";"Aéreo";",00";"Sim"
"0000000000015405941";"4";"20190202";"Itália";"";"Milão";"20190202";"Brasil";"Distrito Federal";"Brasília";"Aéreo";",00";"Não"
"0000000000015405941";"3";"20190202";"Reino Unido";"";"Edimburgo";"20190202";"Itália";"";"Milão";"Aéreo";",00";"Não"
"0000000000015405941";"1";"20190120";"Brasil";"Distrito Federal";"Brasília";"20190127";"Itália";"";"Milão";"Aéreo";",00";"Sim"
"0000000000015421768";"2";"20190112";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"20190116";"Brasil";"Paraná";"Foz do Iguaçu";"Aéreo";"4,00";"Sim"
"0000000000015421768";"1";"20190112";"Brasil";"Rio de Janeiro";"Seropédica";"20190112";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Veículo Próprio";",00";"Não"
"0000000000015421768";"4";"20190116";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"20190116";"Brasil";"Rio de Janeiro";"Seropédica";"Veículo Próprio";",50";"Não"
"0000000000015421768";"3";"20190116";"Brasil";"Paraná";"Foz do Iguaçu";"20190116";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Aéreo";",00";"Não"
"0000000000015425182";"2";"20190120";"Brasil";"Alagoas";"Maceió";"20190120";"Brasil";"Tocantins";"Palmas";"Aéreo";",50";"Não"
"0000000000015425182";"1";"20190113";"Brasil";"Tocantins";"Palmas";"20190120";"Brasil";"Alagoas";"Maceió";"Aéreo";"7,00";"Sim"
"0000000000015425470";"2";"20190120";"Brasil";"Alagoas";"Maceió";"20190120";"Brasil";"Tocantins";"Palmas";"Aéreo";",50";"Não"
"0000000000015425470";"1";"20190113";"Brasil";"Tocantins";"Palmas";"20190120";"Brasil";"Alagoas";"Maceió";"Aéreo";"7,00";"Sim"
